lab,condition,condition_family,n_models,n_valid,owned_rate_model_mean,relocated_or_partial_rate_model_mean,recited_not_owned_rate_model_mean,indeterminate_rate_model_mean,uncodeable_rate_model_mean,owned_rate_sample_weighted,relocated_or_partial_rate_sample_weighted,recited_not_owned_rate_sample_weighted,indeterminate_rate_sample_weighted,uncodeable_rate_sample_weighted
Anthropic,CTRL1,direct_stated_values,9,120,88.88888888888889,4.444444444444445,6.666666666666667,0.0,0.0,91.66666666666666,3.3333333333333335,5.0,0.0,0.0
Anthropic,CTRL2,direct_stated_values,9,120,56.666666666666664,8.88888888888889,34.44444444444444,0.0,0.0,52.5,10.0,37.5,0.0,0.0
Anthropic,CTRL3,world_change_prompts,9,120,95.55555555555556,0.0,4.444444444444445,0.0,0.0,96.66666666666667,0.0,3.3333333333333335,0.0,0.0
Anthropic,G1,cache_broken_stated_values,9,360,91.11111111111111,2.5925925925925926,6.296296296296296,0.0,0.0,93.33333333333333,1.9444444444444444,4.722222222222222,0.0,0.0
Anthropic,G2,cache_broken_stated_values,9,360,88.51851851851853,0.0,11.481481481481481,0.0,0.0,91.38888888888889,0.0,8.61111111111111,0.0,0.0
Anthropic,G3,world_change_prompts,9,360,99.62962962962962,0.3703703703703704,0.0,0.0,0.0,99.44444444444444,0.5555555555555556,0.0,0.0,0.0
DeepSeek,CTRL1,direct_stated_values,3,180,1.6666666666666667,1.6666666666666667,96.66666666666667,0.0,0.0,1.6666666666666667,1.6666666666666667,96.66666666666667,0.0,0.0
DeepSeek,CTRL2,direct_stated_values,3,180,0.8585858585858586,1.4141414141414141,97.17171717171716,0.0,0.5555555555555556,1.1111111111111112,1.6666666666666667,96.66666666666667,0.0,0.5555555555555556
DeepSeek,CTRL3,world_change_prompts,3,170,99.33333333333333,0.6666666666666666,0.0,0.0,0.0,99.41176470588235,0.5882352941176471,0.0,0.0,0.0
DeepSeek,G1,cache_broken_stated_values,3,534,38.156565656565654,39.08670033670034,22.756734006734007,0.0,0.0,25.280898876404496,48.12734082397004,26.591760299625467,0.0,0.0
DeepSeek,G2,cache_broken_stated_values,3,539,32.54266805990944,41.32648322303495,25.558458144665043,0.4713804713804714,0.10101010101010101,27.82931354359926,47.49536178107607,23.933209647495364,0.5565862708719851,0.1855287569573284
DeepSeek,G3,world_change_prompts,3,537,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Google,CTRL1,direct_stated_values,11,110,0.0,0.9090909090909091,99.0909090909091,0.0,0.0,0.0,0.9090909090909091,99.0909090909091,0.0,0.0
Google,CTRL2,direct_stated_values,11,110,0.0,0.9090909090909091,99.0909090909091,0.0,0.0,0.0,0.9090909090909091,99.0909090909091,0.0,0.0
Google,CTRL3,world_change_prompts,11,110,86.36363636363636,10.909090909090908,1.8181818181818181,0.9090909090909091,0.0,86.36363636363636,10.909090909090908,1.8181818181818181,0.9090909090909091,0.0
Google,G1,cache_broken_stated_values,11,330,17.575757575757574,41.21212121212122,35.75757575757576,5.454545454545454,0.0,17.575757575757574,41.21212121212121,35.75757575757576,5.454545454545454,0.0
Google,G2,cache_broken_stated_values,11,330,24.848484848484848,37.27272727272727,28.484848484848484,9.393939393939394,0.0,24.848484848484848,37.27272727272727,28.484848484848484,9.393939393939393,0.0
Google,G3,world_change_prompts,11,330,97.87878787878789,0.30303030303030304,0.30303030303030304,1.5151515151515154,0.0,97.87878787878788,0.30303030303030304,0.30303030303030304,1.5151515151515151,0.0
MiniMax,CTRL1,direct_stated_values,2,50,5.0,29.166666666666668,65.83333333333334,0.0,0.0,4.0,26.0,70.0,0.0,0.0
MiniMax,CTRL2,direct_stated_values,2,50,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
MiniMax,CTRL3,world_change_prompts,2,50,95.83333333333334,4.166666666666667,0.0,0.0,0.0,96.0,4.0,0.0,0.0,0.0
